"Bid curve chart data (Volume for net flows)","184.3","Bid curve chart data (Volume for net flows)","867.8","Bid curve chart data (Volume for net flows)","1663.8","Bid curve chart data (Volume for net flows)","1796.8","Bid curve chart data (Volume for net flows)","2300.7","Bid curve chart data (Volume for net flows)","1114.4","Bid curve chart data (Volume for net flows)","-2314.5","Bid curve chart data (Volume for net flows)","-3052.3","Bid curve chart data (Volume for net flows)","-3188.9","Bid curve chart data (Volume for net flows)","-3250.3","Bid curve chart data (Volume for net flows)","-3347.2","Bid curve chart data (Volume for net flows)","-3443.7","Bid curve chart data (Volume for net flows)","-3595.4","Bid curve chart data (Volume for net flows)","-3583.2","Bid curve chart data (Volume for net flows)","-3561.1","Bid curve chart data (Volume for net flows)","-3457","Bid curve chart data (Volume for net flows)","-3408.2","Bid curve chart data (Volume for net flows)","-3174.5","Bid curve chart data (Volume for net flows)","-3345.4","Bid curve chart data (Volume for net flows)","-3334.3","Bid curve chart data (Volume for net flows)","-3208.3","Bid curve chart data (Volume for net flows)","-2699.9","Bid curve chart data (Volume for net flows)","-1542.6","Bid curve chart data (Volume for net flows)","126.2"
"Bid curve chart data (Bid curve chart data calculation)","","Bid curve chart data (Bid curve chart data calculation)","","Bid curve chart data (Bid curve chart data calculation)","","Bid curve chart data (Bid curve chart data calculation)","","Bid curve chart data (Bid curve chart data calculation)","","Bid curve chart data (Bid curve chart data calculation)","","Bid curve chart data (Bid curve chart data calculation)","","Bid curve chart data (Bid curve chart data calculation)","","Bid curve chart data (Bid curve chart data calculation)","","Bid curve chart data (Bid curve chart data calculation)","","Bid curve chart data (Bid curve chart data calculation)","","Bid curve chart data (Bid curve chart data calculation)","","Bid curve chart data (Bid curve chart data calculation)","","Bid curve chart data (Bid curve chart data calculation)","","Bid curve chart data (Bid curve chart data calculation)","","Bid curve chart data (Bid curve chart data calculation)","","Bid curve chart data (Bid curve chart data calculation)","","Bid curve chart data (Bid curve chart data calculation)","","Bid curve chart data (Bid curve chart data calculation)","","Bid curve chart data (Bid curve chart data calculation)","","Bid curve chart data (Bid curve chart data calculation)","","Bid curve chart data (Bid curve chart data calculation)","","Bid curve chart data (Bid curve chart data calculation)","","Bid curve chart data (Bid curve chart data calculation)",""
"Min volume","10000.000000","Min volume","10000.000000","Min volume","10000.000000","Min volume","10000.000000","Min volume","10000.000000","Min volume","10000.000000","Min volume","10000.000000","Min volume","10000.000000","Min volume","10000.000000","Min volume","10000.000000","Min volume","10000.000000","Min volume","10000.000000","Min volume","10000.000000","Min volume","10000.000000","Min volume","10000.000000","Min volume","10000.000000","Min volume","10000.000000","Min volume","10000.000000","Min volume","10000.000000","Min volume","10000.000000","Min volume","10000.000000","Min volume","10000.000000","Min volume","10000.000000","Min volume","10000.000000"
"Max volume","50000.000000","Max volume","50000.000000","Max volume","50000.000000","Max volume","50000.000000","Max volume","50000.000000","Max volume","50000.000000","Max volume","50000.000000","Max volume","50000.000000","Max volume","50000.000000","Max volume","50000.000000","Max volume","50000.000000","Max volume","50000.000000","Max volume","50000.000000","Max volume","50000.000000","Max volume","50000.000000","Max volume","50000.000000","Max volume","50000.000000","Max volume","50000.000000","Max volume","50000.000000","Max volume","50000.000000","Max volume","50000.000000","Max volume","50000.000000","Max volume","50000.000000","Max volume","50000.000000"
"Buy curve","","Buy curve","","Buy curve","","Buy curve","","Buy curve","","Buy curve","","Buy curve","","Buy curve","","Buy curve","","Buy curve","","Buy curve","","Buy curve","","Buy curve","","Buy curve","","Buy curve","","Buy curve","","Buy curve","","Buy curve","","Buy curve","","Buy curve","","Buy curve","","Buy curve","","Buy curve","","Buy curve",""
"Price value","-200.000000","Price value","-200.000000","Price value","-200.000000","Price value","-200.000000","Price value","-200.000000","Price value","-200.000000","Price value","-200.000000","Price value","-200.000000","Price value","-200.000000","Price value","-200.000000","Price value","-200.000000","Price value","-200.000000","Price value","-200.000000","Price value","-200.000000","Price value","-200.000000","Price value","-200.000000","Price value","-200.000000","Price value","-200.000000","Price value","-200.000000","Price value","-200.000000","Price value","-200.000000","Price value","-200.000000","Price value","-200.000000","Price value","-200.000000"
"Volume value","42893.502719","Volume value","41895.002719","Volume value","41550.302719","Volume value","41803.002719","Volume value","42565.002719","Volume value","44889.202719","Volume value","49970.574950","Volume value","54921.674950","Volume value","55453.574950","Volume value","54925.874950","Volume value","54675.774950","Volume value","53993.374950","Volume value","53242.174950","Volume value","52897.274950","Volume value","52971.674950","Volume value","53099.874950","Volume value","53576.674950","Volume value","55228.474950","Volume value","54730.074950","Volume value","53632.074950","Volume value","51511.774950","Volume value","49802.574950","Volume value","47124.780093","Volume value","44122.480093"
"Price value","-199.133065","Price value","-199.133065","Price value","-199.133065","Price value","-199.133065","Price value","-198.844086","Price value","-198.555108","Price value","-197.977151","Price value","-197.688172","Price value","-197.977151","Price value","-197.783505","Price value","-197.783505","Price value","-197.783505","Price value","-197.783505","Price value","-197.783505","Price value","-197.783505","Price value","-197.783505","Price value","-197.783505","Price value","-197.783505","Price value","-197.783505","Price value","-197.783505","Price value","-197.783505","Price value","-198.100147","Price value","-198.416789","Price value","-199.050074"
"Volume value","42888.734479","Volume value","41890.234479","Volume value","41545.534479","Volume value","41798.234479","Volume value","42558.645066","Volume value","44881.190129","Volume value","49957.753774","Volume value","54907.011424","Volume value","55440.744365","Volume value","54912.486209","Volume value","54662.386209","Volume value","53980.048838","Volume value","53228.848838","Volume value","52883.937755","Volume value","52958.286209","Volume value","53086.486209","Volume value","53563.286209","Volume value","55215.086209","Volume value","54716.686209","Volume value","53618.686209","Volume value","51498.396518","Volume value","49791.107723","Volume value","47115.205583","Volume value","44117.455564"
"Price value","-196.293103","Price value","-196.293103","Price value","-196.293103","Price value","-196.293103","Price value","-196.293103","Price value","-192.456140","Price value","-194.691358","Price value","-193.404908","Price value","-193.404908","Price value","-193.404908","Price value","-193.404908","Price value","-193.404908","Price value","-194.723926","Price value","-194.723926","Price value","-194.723926","Price value","-194.723926","Price value","-193.404908","Price value","-193.404908","Price value","-193.404908","Price value","-194.723926","Price value","-194.723926","Price value","-194.723926","Price value","-194.723926","Price value","-196.293103"
"Volume value","42882.941971","Volume value","41884.441971","Volume value","41539.741971","Volume value","41792.441971","Volume value","42553.441971","Volume value","44868.473828","Volume value","49948.298212","Volume value","54894.665506","Volume value","55427.565506","Volume value","54899.865506","Volume value","54649.765506","Volume value","53967.551855","Volume value","53220.116474","Volume value","52875.190094","Volume value","52949.467394","Volume value","53077.667394","Volume value","53550.665506","Volume value","55202.465506","Volume value","54704.065506","Volume value","53609.867394","Volume value","51489.591934","Volume value","49781.391934","Volume value","47104.535469","Volume value","44111.579775"
"Price value","-183.159552","Price value","-189.070203","Price value","-192.667991","Price value","-192.154021","Price value","-188.813218","Price value","-185.986385","Price value","-185.172414","Price value","-185.172414","Price value","-185.172414","Price value","-185.172414","Price value","-185.172414","Price value","-183.773585","Price value","-183.773585","Price value","-183.773585","Price value","-185.172414","Price value","-185.172414","Price value","-185.172414","Price value","-185.172414","Price value","-185.172414","Price value","-185.172414","Price value","-188.684211","Price value","-188.684211","Price value","-188.879310","Price value","-179.963303"
